291 	TATACOFFEE:EQ 	1x 	3x 
292 	TATACOMM:EQ 	1x 	9x 
293 	TATAELXSI:EQ 	1x 	9x 
294 	TATAGLOBAL:EQ 	1x 	9x 
295 	TATAMOTORS:EQ 	1x 	11x 
296 	TATAMTRDVR:EQ 	1x 	11x 
297 	TATAPOWER:EQ 	1x 	9x 
298 	TATASTEEL:EQ 	1x 	14x 
299 	TCS:EQ 	1x 	9x 
300 	TECHM:EQ 	1x 	9x 
301 	THERMAX:EQ 	1x 	3x 
302 	THOMASCOOK:EQ 	1x 	3x 
303 	THYROCARE:EQ 	1x 	3x 
304 	TITAN:EQ 	1x 	11x 
305 	TORNTPHARM:EQ 	1x 	7x 
306 	TORNTPOWER:EQ 	1x 	8x 
307 	TRENT:EQ 	1x 	3x 
308 	TTKPRESTIG:EQ 	1x 	3x 
309 	TUBEINVEST:EQ 	1x 	3x 
310 	TV18BRDCST:EQ 	1x 	8x 
311 	TVSMOTOR:EQ 	1x 	11x 
312 	UBL:EQ 	1x 	11x 
313 	UCOBANK:EQ 	1x 	11x 
314 	ULTRACEMCO:EQ 	1x 	11x 
315 	UNIONBANK:EQ 	1x 	13x 
316 	UNITECH:EQ 	1x 	3x 
317 	UPL:EQ 	1x 	11x 
318 	VAKRANGEE:EQ 	1x 	3x 
319 	VEDL:EQ 	1x 	11x 
320 	VGUARD:EQ 	1x 	3x 
321 	VIDEOIND:EQ 	1x 	3x 
322 	VIPIND:EQ 	1x 	3x 
323 	VOLTAS:EQ 	1x 	9x 
324 	VTL:EQ 	1x 	3x 
325 	WABCOINDIA:EQ 	1x 	3x 
326 	WELCORP:EQ 	1x 	3x 
327 	WHIRLPOOL:EQ 	1x 	3x 
328 	WIPRO:EQ 	1x 	9x 
329 	WOCKPHARMA:EQ 	1x 	7x 
330 	WONDERLA:EQ 	1x 	3x 
331 	YESBANK:EQ 	1x 	14x 
332 	ZEEL:EQ 	1x 	11x 
